company_name,job_description,position_title,portal
Sony Music Entertainment,web developer job id positions location ustnnashville posted date category digital business digital operations level representative information job leading country music company sony music looking technical highlymotivated rockstar web developer professional help make direct impact artists sales label success online world consider rewarding position digital department ability design broad range artistic styles capable working concurrently multiple projects fastpaced environment stay deadline sony music entertainment global recorded music company roster current artists includes broad array local artists international superstars well vast catalog comprises important recordings history sony music entertainment wholly owned subsidiary sony corporation america qualified applicants receive consideration employment regard race color religion sex national origin disability protected veteran status responsibilities web developer use technical skills develop maintain online assets sony music nashvilles roster artist include creation digital assets coding online campaigns maintenance company label internet intranet websites collection evaluation marketing response data design create code promotional pages social skins email campaigns banner ads web interfaces page layouts collaborate closely frontend backend developers entire development process maintain update active company label websites images audio files press releases graphics troubleshoot creative technical challenges analyze make recommendations regarding traffic activity community properties continually research emerging digital technologies services advise director strategy best new trends knowledge could positively impact artist roster complete duties responsibilities assigned qualifications least years experience building maintaining websites proficiency writing code one languages htmlcssjavascript basic phpmysql proven experience building maintaining webbased platforms experience wordpress strong grounding interaction design fundamentals web best practices experience adobe creative suite experience audio video editing knowledge api integration basic knowledge crossbrowser testing responsive web design experience motion graphics plus must possess online portfolio range sample work ideal candidate capacity rapidly design develop web pages based shifting calendars aptitude find solutions novel coding issues resourcefulness troubleshoot issues independently ability highperforming team player enthusiastic work colleagues marketing technology enjoy challenging creative atmosphere music industry employees work music row area tennessee receive outstanding benefits including k match medicaldentallifedisability insurance cover letter opportunity convince perfect person job take note identify experiences related job requirements ideal candidate described note previously applied sony music entertainment job wish submit different r sum cover letter one last used follow steps apply job online click update profile upload new r sum copy paste new cover letter sure click update profile bottom page youre done communicate applicants email dont receive email confirming receipt application please check spam filter add allowed email list autoreplyicimscom noreplysonymusiccom,Web Developer,glass door
Snapshot Interactive,snapshot looking back end developer join organization make immediate impact help ensure meet core purpose project live inspirational solutions may right person upbeat meaning come snapshot positive attitude desire improve week work first day type individual takes ownership projects goes clients enjoy challenge deliverables service standards always changing new projects kick daily stay ahead curve enjoy learning industry help educate clients stay know snapshot fullservice digital agency bridging gap highquality video production awardwinning website design creative online marketing strategies help clients big small showcase companies products world fresh engaging way heavy consistent project load need someone ready hit ground running youre looking company stretch creative abilities teaches entrepreneurial spirit belong team selfmotivated disciplined work effectively part team compensation benefits salaried position pay depending experience health insurance coverage life insurance policy shortterm longterm disability insurance paid holidays days vacation week personal paid time retirement plan description requirements candidate someone code confidence create amazing backend framework deliver clients vision expectations possess critical thinking skills put clients shoes troubleshoot issues independently responsibilities include helping create amazing wordpress websites reflect clients brand objectives execute updates troubleshoot client websites wide variety issues resolutions seamless integrations hubspot functions plugins use project management software tracking projects updates completion timely completion projects tracking progress project management system professional communication team required experience bachelors degree equivalent experience years professional experience understanding objectoriented programming mvc custom scripting thirdparty api integration experience using hubspot integrations custom wordpress theming sage preferred custom rest api development expert level css foundation bootstrap php mysql knowledge responsive mobilefirst best practices strong ability debug crossbrowser issues detailoriented strong organizational skills selfmotivated disciplined able work effectively part team ability maintain ownership individual projects start finish also working collaborative projects familiarity illustrator photoshop sketch bonus experience laravel basic commandline experience experience deploying websites experience git version control systems knowledge css preprocessors sass less job type fulltime pay year benefits k k matching dental insurance employee assistance program health insurance health savings account life insurance paid time parental leave retirement plan vision insurance schedule hour shift monday friday ability commuterelocate nashville tn reliably commute planning relocate starting work preferred education bachelors required experience backend development year required work location one location,Web Developer,hirect
Deloitte,seeking senior ui designer relishes methodically applied color palettes takes pride type ramp work done mobile apps responsive websites create look amazing act seamless extension clients brand voice business strategy act lead contributing designer projects presenting work design ux development teams create designs onbrand clients follow projects creative vision business strategy putting user first collaborate groups developers engagement managers ux designers deliver highquality creative internal clientfacing projects provide constructive art direction alongside fellow designers work projects varying length complexity contribute improvements creative process capabilities years related design experience experience ability work variety digitalfocused design applications sketch invision illustrator proficiency web optimization principles production methods crossplatform web mobile development experience ios android etc proficiency producing pixel perfect design files ability use motion tools adobe effects principle mac framer communicate interaction design motion must legally authorized work united states need employer sponsorship time future experience creating design systems enterpriselevel experiences experience creating icons custom illustrations experiences curiosity learn others passion learning pursuing craft experience working consulting environment participation wider design community connections creative organizations aiga creative mornings etc ability take feedback use improve work developed personal style ability scale adapt project needs sits advertising marketing commerce offering group create content communications experiences engage inspire clients customers act implement operate technology platforms enable personalized content commerce usercentric experiences transform clients marketing engagement operations modern datadriven creatively focused organizations built drive growth developing stand resume putting best foot forward interview want feel prepared confident explore opportunities deloitte check recruiting tips deloitte recruiters deloitte know great people make great organization value people offer employees broad range benefits learn working deloitte mean people culture diverse equitable inclusive culture empowers people contribute unique perspectives make difference individually collectively enables leverage different ideas perspectives bring creativity innovation help solve client complex challenges makes deloitte one rewarding places work learn inclusive culture entrylevel employees senior leaders believe theres always room learn offer opportunities build new skills take leadership opportunities connect grow mentorship learning experiences formal development programs professionals variety opportunities continue grow career used posting deloitte means deloitte consulting llp subsidiary deloitte llp please see detailed description legal structure deloitte llp subsidiaries qualified applicants receive consideration employment regard race color religion sex sexual orientation gender identity national origin age disability protected veteran status legally protected basis accordance applicable law deloitte consider employment qualified applicants including criminal histories manner consistent requirements applicable state local laws see notices various banthebox laws available requisition code,Senior UI Designer,glass door
Themesoft Inc,design develop test high quality software features understanding user needs implementing well designed code follow implement code standards best practices good communication sense urgency good team player skills experience bachelors degree computer science engineering information technology equivalent experience years professional software development experience php wordpress enterprise environment development experience wordpress wp plugins php htmlcss java script mysql linux git strong analytical debugging skills testing familiarity common debugging tools,Wordpress Web Developer,glass door
Western Governors University,youre passionate building better future individuals communities countryand youre committed working hard play part building futureconsider wgu next step career driven mission expand access higher education online competencybased degree programs wgu also committed great place work diverse workforce studentfocused professionals university pioneered new way learn century one received praise academic industry government media leaders whatever role working wgu gives part play helping students graduate creating better tomorrow families position summary web designer works creative side producing website responsible designing visual elements use online reflecting branding design aesthetic create layouts landing pages product pages homepages category pages areas website ensuring designs emotionally compelling unique strategy position remote essential functions responsibilities person part creative team consisting talented people including copywriters video editors graphic designers position report sr manager brand design position works closely greater marketing team create pages help increase engagement conversion newly designed website environment duties responsibilities may include take key role design consumer facing webpages creating wireframes initial review greater marketing team make sure map overall marketing strategy able understand user personas ideas kinds content would effective eg videos infographics header images charts etc create highfidelity comps least one webpage mockup tools figma sketch photoshop adobexd invision etc visual layout design web pages ability program necessary role design oriented experience web content management systems page building tools currently use adobe aem version work newly developed component library customize components needed advocate passion applying user feedback various testing methods able iterate based design feedback collaborate designers front backend development teams content owners project managers internal teams create great user experiences liaising copywriters graphic designers developers project management ensure tasks completed time create lead best uiux practices disciplines help ensure guidelines followed implementation phase knowledge skill abilities proficient use adobe creative suite ability prototype designs interactive formats using figma adobexd sketch similar tools understanding best practices designing responsive websites focus first highlevel understanding visual design principles including color optimization hierarchy typography composition effectively communicate designs developers key stakeholders qualifications minimum qualifications years experience working uxui designer including design development implementation production deployment portfolio examples webpage design equal opportunity employer wgu recognizes strength lies people committed diversity,UI Web Designer,hirect
Sedgwick,apply seek option utilized international applicants mainly australia apply please use apply optionsenior web designer remoteif care theres place herefor career path challenging rewarding join sedgwicks talented team colleagues globe sedgwick leading provider technologyenabled risk benefits integrated business solutions taking care people heart everything millions people organizations count sedgwick year take care needs face major life event something unexpected happens workplace injury suffer property financial loss damage natural manmade disaster involved auto type accident need time away work birth child medical situation provide compassionate care expert guidance clients depend talented colleagues take care valuable assetstheir employees customers property sedgwick caring counts join team creative caring people backgrounds help make difference lives othersopen remote work locations usprimary purpose conceptualize design user experience projects initiatives oversee designers ensure highquality work entirety projectessential functions responsibilities create userfriendly designs improve overall user experience oversee user experience projects support global marcomm deliverables ideas solutions creates strategic compelling user experience design solutions visually engaging drive optimized experience manages execution design projects initiatives deliver onbrand solutions based best practices meet needs timeline requirements prepares wireframes strategic optimize user flow incorporate desired calltoaction brand engagement participates brainstorming sessions key milestone meetings status meetings team ensure alignment strategic objectives teambusiness priorities stay uptodate industry best practices tools ensures user experience projects accessible follow wcag guidelines aa requirementsadditional functions responsibilities performs duties assigned supports organizations quality programs travels required remote positionqualificationseducation licensingbachelors degree uiux graphic design accredited college university preferredexperienceseven years uiux graphic design experience equivalent combination education experience requiredskills knowledge attention detail strong design asthetic strategic mindset knowledge adobe creative suite knowledge sketch excellent oral written communication skills including presentation skills strong knowledge css html websites strong organizational skills excellent interpersonal skills ability work fast paced team environmentwork environmentwhen applicable appropriate consideration given reasonable accommodationsmental clear conceptual thinking ability excellent judgment troubleshooting problem solving analysis discretion ability handle workrelated stress ability handle multiple priorities simultaneously ability meet deadlinesphysical computer keyboarding travel requiredauditoryvisual hearing vision talkingthe statements contained document intended describe general nature level work performed colleague assigned description intended constitute comprehensive list functions duties local variances management retains discretion add change duties position timesedgwick equal opportunity employer drugfree workplace,Senior Web Designer (REMOTE),naukari
Ohio ENT & Allergy Physicians,description summary duties ceo face ohio ent allergy physicians responsible overall leadership strategic planning medical practice related parties selected board directors ceo expected carry mission organization ensuring clinical financial operations practice performing optimal level ceo focuses longrange goals strategies plans policies routinely exercising discretion independent judgment performance job duties ceo accountable overall programmatic fiscal integrity organization closely coordinate work board directors senior leadership team ceo also responsible networking building partnerships expand support mission ohio ent allergy physicians supervision reporting reports board directors primary responsibilities provide clear communication establish credibility levels organization order effectively lead physicians management employees organization develop update organizational design management processes maximum productivity efficiency cost effectiveness emphasis achieving economies scale develop maintain culture collaboration accountability performance shared vision future include emphasis employee retention engagement incentives lead organization development comprehensive strategic plan provide roadmap future success practice related entities provide visible approachable leadership enhance working relationships staff physicians ensures clinical compliance regulatory agencies governing health care delivery rules accrediting bodies identify opportunities enhance market share financial position development partnerships affiliations growth strategies represent clinic relationships health organizations government agencies thirdparty payers broader community mentor members executive leadership team opportunities professional growth development provide oversight risk management initiatives functional areas organization important leadership traits strategic mindset willingness continually motivate strong business acumen outstanding problem solving skills ability collaboratively lead manage individuals teams continually pursue improved outcomes results communicate effectively levels strict attention detail ability provide discretion sensitive situations respect empathy physicians employees patients families requirements requirements preferred qualifications bachelors degree business administration related field mha mba preferred years specific industry experience ability train develop lead executive management teams executive presence ability maintain calm demeanor high stress environments situations,Chief Executive Officer,hirect
Confidential Jobs,company large public research university ohio industry higher education educational institution founded employees categories education big buckeyes college healthcare hospitals clinics osu ohio ohio state ohio state university scarlet gray ohio state university university higher education universities specialties teaching research service international student experience faculty excellence role travel percent less functions ceopresident medical carehospital administration,"Executive Vice President & Chief Executive Officer (CEO), Medical...",hirect
RiverVista Health and Wellness,,CEO,indeed
Salt Creek Capital,,CEO,hirect
Ascend Innovations,job description overview positivly team looking chief executive officer lead manage startup role opportunity lifetime executive aims profoundly impact mental health needs addressed teens role receive guided handoff interim ceo take leadership company significant momentum role incredible opportunity grow skills leader guidance supportive ambitious board successful role previous experience scaling software startups operations product sales roles must previous experience serving communitys mental health needs either clinical informal efforts volunteer work positivly financial backing one nations largest medicaid insurance providers caresource relationship caresource provides clear pathway multistate growth strong financial foundation positivly positivly spinout ascend innovations startup studio positivly new platform developed high school students helps reduce access barriers mental health resources rates anxiety depression suicide almost doubled last ten years schools crisis mode responding students needs app fights barriers created stigma shared stories mental health trusted staff school curates content positivly also closes gap students professional community resources hyperlocal directory vetted professional services ascend technology company provides datadriven products consulting services help organizations solve complex community health problems formed greater dayton area hospital association three major hospital networks premier health kettering health dayton childrens ascend positioned serve communities address complex health problems including mental health value team culture rooted values drive perseverance trust accountability community aspire better grow challenge open honest others back better together perks unlimited pto months fully paid parental leave hybrid workplace ability work remotely passion mental health especially comes improving support youth minimum years experience entrepreneurial product management operational experience demonstrated excellence board roles daytoday execution strategic planning experience executive eager roll sleeves help team companys urgent issues strong networker wellestablished professional network preferably world software startups demonstrated success developing building scaling software companies extremely attentive detail strong financial acumen strong operational manager know organize team get things done obsessed personal growth continually strive better leader high degree selfawareness excellent written verbal communication skills comfortable giving pitches interacting key stakeholders board customers investors strong appetite risk experience distinguishing good bad risks act conviction identifying opportunity based good risk bachelors degree business comparable experience ceo given day provide company vision support longterm product strategy development partnerships management stakeholders support sales team development relationships healthcare sponsoring organizations collaborate executive director mental health content strategy relationships schools provide leadership team managing company values guiding team goal setting build implement professional management structure organization optimizing company operational excellence manage key stakeholders including board directors customers investors build team proactive recruiting networking ensure access essential talent collaborate product design implementation roles needed spend time schools conferences education partners mental health community collaborate ascend innovations startup studio leadership team support development positivly team youll distributed workforce enabling teammates find work mode best offer flexible hybrid inoffice working arrangements role placed ohio primary office dayton ohio est timezone also presence columbus ohio positivly team members ohio benefits highlights equity earlystage startup inclusive healthcare package medical dental vision automatic employer contribution health savings account employer match,"CEO, Positivly",hirist
ExecHQ,company overview exechq consulting firm comprised executives extensive csuite eg cfo coo cmo ceo etc experience delivering costeffective solutions complex business problems faced ceos business owners offer fractional interim projectbased services clients need higher level expertise experience currently ability retain fulltime basis believe company deserves right executive believe many ceos andor business owners better focus core responsibilities reach maximum effectiveness able take multiple hats delegating areas responsibility trusted business advisors job summary consulting ceo work principals firm provide best solutions clients globe apply knowledge expertise gained experience fulltime consulting ceo help business owners andor ceos help organizations need looking ceos entrepreneurial spirit want work firm treats consultants priority clients close second responsibilities duties apply skills knowledge chief executive officer assist clients needed leadership turnarounds taking next level executive coaching building effective teams etc employ training coaching expand business network build great business relationships followup help close leads new clients come attention able interact ceosbusiness owners peer level willing listen learn ask relevant questions determine core issues organization assemble team individuals client team csuite level consultants andor strategic alliance partner firms needed bring best solutions client principal consulting ceo firm interact csuiteexperienced individuals backgrounds ceos cfos coos cmos chros cios ctos etc also mission bring best solutions clients qualifications skills bachelors degree business accounting related field required mba relevant masters degree preferred five years experience ceo business owner equivalent position benefits perks offer access cigna health insurance plan medical vision dental various discounts corporate perks firm buyin startup fees retain revenues billed clients part fastgrowing entrepreneurial team csuite executives given autonomy tools training coaching whats best familyand clients powered jazzhr,Chief Executive Officer - CEO Consultant,shine
